Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Transfer_fee
César,Left Midfield,26,São Caetano, Brazil,Lazio,Serie A,2001-2002,5000000
Christian Panucci,Right-Back,28,Inter,Serie A,AS Roma,Serie A,2001-2002,5000000
Ezequiel González,Attacking Midfield,20,CA Rosario, Argentina,Fiorentina,Serie A,2001-2002,5000000
Eduardo Costa,Defensive Midfield,18,Grêmio, Brazil,G. Bordeaux,Ligue 1,2001-2002,5000000
Ümit Davala,Right Midfield,28,Galatasaray,Süper Lig,AC Milan,Serie A,2001-2002,5000000
Sander Westerveld,Goalkeeper,27,Liverpool,Premier League,Real Sociedad,LaLiga,2001-2002,5000000
Lilian Laslandes,Centre-Forward,29,G. Bordeaux,Ligue 1,Sunderland,Premier League,2001-2002,5000000
João Tomás,Centre-Forward,26,Benfica, Portugal,Real Betis,LaLiga,2001-2002,5000000
Delfim,Central Midfield,24,Sporting CP, Portugal,Marseille,Ligue 1,2001-2002,5000000
David James,Goalkeeper,30,Aston Villa,Premier League,West Ham,Premier League,2001-2002,4800000
Jérôme Rothen,Left Midfield,23,Troyes,Ligue 1,Monaco,Ligue 1,2001-2002,4500000
Marcus Bent,Centre-Forward,23,Blackburn,Premier League,Ipswich,Premier League,2001-2002,4500000
Patrick M'Boma,Centre-Forward,31,Parma,Serie A,Sunderland,Premier League,2001-2002,4500000
Matthew Jones,Central Midfield,20,Leeds,Premier League,Leicester,Premier League,2001-2002,4500000
James Scowcroft,Centre-Forward,25,Ipswich,Premier League,Leicester,Premier League,2001-2002,4500000
Jacek Bak,Centre-Back,28,Olympique Lyon,Ligue 1,Lens,Ligue 1,2001-2002,4300000
Pablo Contreras,Centre-Back,22,Monaco,Ligue 1,Celta de Vigo,LaLiga,2001-2002,4200000
Finidi George,Right Winger,30,RCD Mallorca,LaLiga,Ipswich,Premier League,2001-2002,4200000
François Grenet,Right-Back,26,G. Bordeaux,Ligue 1,Derby,Premier League,2001-2002,4190000
Brahim Hemdani,Defensive Midfield,23,R. Strasbourg,Ligue 2,Marseille,Ligue 1,2001-2002,4000000
Mustapha Hadji,Attacking Midfield,29,Coventry City,First Division,Aston Villa,Premier League,2001-2002,4000000
Alberto Gilardino,Centre-Forward,19,Piacenza,Serie A,Hellas Verona,Serie A,2001-2002,3870000
Mario Yepes,Centre-Back,25,River Plate, Argentina,FC Nantes,Ligue 1,2001-2002,3800000
Sylvinho,Left-Back,27,Arsenal,Premier League,Celta de Vigo,LaLiga,2001-2002,3800000
Toifilou Maoulida,Centre-Forward,22,Montpellier,Ligue 1,Stade Rennais,Ligue 1,2001-2002,3800000
Tobias Linderoth,Defensive Midfield,22,Stabaek IF,Eliteserien,Everton,Premier League,2001-2002,3750000
Ian Walker,Goalkeeper,29,Spurs,Premier League,Leicester,Premier League,2001-2002,3750000
Gabriel Heinze,Centre-Back,23,Real Valladolid,LaLiga,Paris SG,Ligue 1,2001-2002,3500000
Vitali Kutuzov,Centre-Forward,21,BATE Borisov,Vysheyshaya Liga,AC Milan,Serie A,2001-2002,3500000
Yksel Osmanovski,Left Midfield,24,Bari,Serie B,Torino,Serie A,2001-2002,3500000
Gustavo Poyet,Attacking Midfield,33,Chelsea,Premier League,Spurs,Premier League,2001-2002,3400000
Abdeslam Ouaddou,Centre-Back,22,AS Nancy,Ligue 2,Fulham,Premier League,2001-2002,3300000
Olivier Monterrubio,Left Midfield,24,FC Nantes,Ligue 1,Stade Rennais,Ligue 1,2001-2002,3000000
Olivier Sorlin,Defensive Midfield,22,Montpellier,Ligue 1,Stade Rennais,Ligue 1,2001-2002,3000000
Nils-Eric Johansson,Left-Back,21,1.FC Nuremberg,1.Bundesliga,Blackburn,Premier League,2001-2002,3000000
Hakan Ünsal,Left-Back,28,Galatasaray,Süper Lig,Blackburn,Premier League,2001-2002,3000000
Alberto Fontana,Goalkeeper,34,SSC Napoli,Serie B,Inter,Serie A,2001-2002,3000000
Jason McAteer,Right Midfield,30,Blackburn,Premier League,Sunderland,Premier League,2001-2002,3000000
Roy Carroll,Goalkeeper,23,Wigan, England,Man Utd,Premier League,2001-2002,3000000
Jonathan Greening,Central Midfield,22,Man Utd,Premier League,Middlesbrough,Premier League,2001-2002,3000000
Francisco Rojas,Right-Back,26,Colo Colo, Chile,Sturm Graz,Bundesliga,2001-2002,2660000
Brett Ormerod,Centre-Forward,25,Blackpool, England,Southampton,Premier League,2001-2002,2650000
Daniel Andersson,Centre-Back,23,Bari,Serie B,Venezia,Serie A,2001-2002,2500000
Fatih Akyel,Right-Back,23,Galatasaray,Süper Lig,RCD Mallorca,LaLiga,2001-2002,2500000
Vladimir Janocko,Attacking Midfield,24,AO Xanthi,Super League,Austria Vienna,Bundesliga,2001-2002,2500000
Luigi Sala,Centre-Back,27,AC Milan,Serie A,Atalanta,Serie A,2001-2002,2500000
Pascal Nouma,Centre-Forward,29,Besiktas,Süper Lig,Marseille,Ligue 1,2001-2002,2500000
Dennis Wise,Defensive Midfield,34,Chelsea,Premier League,Leicester,Premier League,2001-2002,2400000
Luís Boa Morte,Left Midfield,23,Southampton,Premier League,Fulham,Premier League,2001-2002,2300000
Mark Wilson,Central Midfield,22,Man Utd,Premier League,Middlesbrough,Premier League,2001-2002,2300000
Bruno Basto,Left-Back,23,Benfica, Portugal,G. Bordeaux,Ligue 1,2001-2002,2280000
Mate Bilic,Centre-Forward,20,Hajduk Split, Croatia,Real Zaragoza,LaLiga,2001-2002,2250000
Mark Draper,Attacking Midfield,30,Aston Villa,Premier League,Southampton,Premier League,2001-2002,2250000
Joachim Björklund,Centre-Back,30,Venezia,Serie A,Sunderland,Premier League,2001-2002,2230000
Yann Lachuer,Attacking Midfield,28,SC Bastia,Ligue 1,AJ Auxerre,Ligue 1,2001-2002,2000000
Claudio Taffarel,Goalkeeper,35,Galatasaray,Süper Lig,Parma,Serie A,2001-2002,2000000
Gheorghe Popescu,Centre-Back,33,Galatasaray,Süper Lig,Lecce,Serie A,2001-2002,2000000
Winston Parks,Centre-Forward,19,Limón FC,Primera Div. Apertura,Udinese Calcio,Serie A,2001-2002,2000000
Tugay Kerimoglu,Defensive Midfield,30,Rangers, Scotland,Blackburn,Premier League,2001-2002,1950000
Ulrich Le Pen,Left Winger,27,FC Lorient,Ligue 1,Ipswich,Premier League,2001-2002,1950000
Papa Bouba Diop,Defensive Midfield,23,Grasshoppers,Super League,Lens,Ligue 1,2001-2002,1800000
Adékambi Olufadé,Right Winger,21,KSC Lokeren,Jupiler Pro League,LOSC Lille,Ligue 1,2001-2002,1800000
John Aloisi,Centre-Forward,25,Coventry City,First Division,CA Osasuna,LaLiga,2001-2002,1800000
Thomas Gaardsöe,Centre-Back,22,Aalborg BK, Denmark,Ipswich,Premier League,2001-2002,1800000
Rio Ferdinand,Centre-Back,23,Leeds,Premier League,Man Utd,Premier League,2002-2003,46000000
Ronaldo,Centre-Forward,25,Inter,Serie A,Real Madrid,LaLiga,2002-2003,45000000
Hernán Crespo,Centre-Forward,27,Lazio,Serie A,Inter,Serie A,2002-2003,36000000
Alessandro Nesta,Centre-Back,26,Lazio,Serie A,AC Milan,Serie A,2002-2003,30500000
Fabio Cannavaro,Centre-Back,28,Parma,Serie A,Inter,Serie A,2002-2003,23000000
Clarence Seedorf,Central Midfield,26,Inter,Serie A,AC Milan,Serie A,2002-2003,22500000
Francesco Coco,Left-Back,25,AC Milan,Serie A,Inter,Serie A,2002-2003,22500000
Matías Almeyda,Defensive Midfield,28,Parma,Serie A,Inter,Serie A,2002-2003,22100000
Marco Di Vaio,Centre-Forward,26,Parma,Serie A,Juventus,Serie A,2002-2003,21000000
Nicolas Anelka,Centre-Forward,23,Paris SG,Ligue 1,Man City,Premier League,2002-2003,15000000
Albert Luque,Left Winger,24,RCD Mallorca,LaLiga,Dep. La Coruña,LaLiga,2002-2003,15000000
El-Hadji Diouf,Centre-Forward,21,Lens,Ligue 1,Liverpool,Premier League,2002-2003,15000000
Adriano,Centre-Forward,20,Inter,Serie A,Parma,Serie A,2002-2003,14500000
Jonathan Woodgate,Centre-Back,23,Leeds,Premier League,Newcastle,Premier League,2002-2003,13500000
Jorge Andrade,Centre-Back,24,FC Porto,Liga NOS,Dep. La Coruña,LaLiga,2002-2003,13000000
Javi Moreno,Centre-Forward,27,AC Milan,Serie A,Atlético Madrid,LaLiga,2002-2003,13000000
Hugo Viana,Central Midfield,19,Sporting CP,Liga NOS,Newcastle,Premier League,2002-2003,12750000
Massimo Maccarone,Centre-Forward,22,FC Empoli,Serie A,Middlesbrough,Premier League,2002-2003,12380000
Alberto Gilardino,Centre-Forward,20,Hellas Verona,Serie B,Parma,Serie A,2002-2003,12000000
Martin Laursen,Centre-Back,24,Parma,Serie A,AC Milan,Serie A,2002-2003,11000000
Tore André Flo,Centre-Forward,29,Rangers, Scotland,Sunderland,Premier League,2002-2003,11000000
Roberto Acuña,Central Midfield,30,Real Zaragoza,LaLiga2,Dep. La Coruña,LaLiga,2002-2003,11000000
André Luiz,Attacking Midfield,27,CD Tenerife,LaLiga2,Paris SG,Ligue 1,2002-2003,11000000
Robbie Keane,Centre-Forward,21,Leeds,Premier League,Spurs,Premier League,2002-2003,10500000
Adrian Mutu,Centre-Forward,23,Hellas Verona,Serie B,Parma,Serie A,2002-2003,10000000
Juan Riquelme,Attacking Midfield,24,Boca Juniors, Argentina,FC Barcelona,LaLiga,2002-2003,10000000
Bernardo Corradi,Centre-Forward,26,Inter,Serie A,Lazio,Serie A,2002-2003,10000000
Robbie Fowler,Centre-Forward,27,Leeds,Premier League,Man City,Premier League,2002-2003,9800000
Jean-Claude Darcheville,Centre-Forward,26,FC Lorient,Ligue 2,G. Bordeaux,Ligue 1,2002-2003,9000000
Lee Hughes,Centre-Forward,26,Coventry City,First Division,West Brom,Premier League,2002-2003,9000000
Mauro Germán Camoranesi,Right Midfield,25,Hellas Verona,Serie B,Juventus,Serie A,2002-2003,8500000
Fabrizio Miccoli,Centre-Forward,23,Ternana,Serie B,Juventus,Serie A,2002-2003,7500000
Salif Diao,Defensive Midfield,25,CS Sedan,Ligue 1,Liverpool,Premier League,2002-2003,7500000
Matías Vuoso,Centre-Forward,20,Independiente, Argentina,Man City,Premier League,2002-2003,7500000
Mark Bresciano,Central Midfield,22,FC Empoli,Serie A,Parma,Serie A,2002-2003,7000000
Gilberto Silva,Defensive Midfield,25,Atlético-MG, Brazil,Arsenal,Premier League,2002-2003,6900000
George Boateng,Defensive Midfield,26,Aston Villa,Premier League,Middlesbrough,Premier League,2002-2003,6900000
Juninho Paulista,Attacking Midfield,29,Atlético Madrid,LaLiga,Middlesbrough,Premier League,2002-2003,6900000
Titus Bramble,Centre-Back,20,Ipswich,First Division,Newcastle,Premier League,2002-2003,6800000
Bruno Cheyrou,Central Midfield,24,LOSC Lille,Ligue 1,Liverpool,Premier League,2002-2003,6500000
Émerson,Defensive Midfield,30,Dep. La Coruña,LaLiga,Atlético Madrid,LaLiga,2002-2003,6500000
Clinton Morrison,Centre-Forward,23,Crystal Palace,First Division,Birmingham,Premier League,2002-2003,6380000
Rubén Olivera,Central Midfield,19,Danubio FC, Uruguay,Juventus,Serie A,2002-2003,6240000
Sylvain Distin,Centre-Back,24,Paris SG,Ligue 1,Man City,Premier League,2002-2003,6000000
Maxi Rodríguez,Left Winger,21,Newell's, Argentina,Espanyol,LaLiga,2002-2003,6000000
Ariza Makukula,Centre-Forward,21,UD Salamanca,LaLiga2,FC Nantes,Ligue 1,2002-2003,5500000
Richard Wright,Goalkeeper,24,Arsenal,Premier League,Everton,Premier League,2002-2003,5500000
Gary Rowett,Right-Back,28,Leicester,First Division,Charlton,Premier League,2002-2003,5250000
Matt Piper,Right Midfield,20,Leicester,First Division,Sunderland,Premier League,2002-2003,5250000
Michael Ricketts,Centre-Forward,24,Bolton,Premier League,Middlesbrough,Premier League,2002-2003,5250000
Dario Simic,Centre-Back,26,Inter,Serie A,AC Milan,Serie A,2002-2003,5000000
Matteo Brighi,Central Midfield,21,Juventus,Serie A,Parma,Serie A,2002-2003,5000000
Petr Cech,Goalkeeper,20,Sparta Praha, Czech Republic,Stade Rennais,Ligue 1,2002-2003,5000000
Marcus Stewart,Centre-Forward,29,Ipswich,First Division,Sunderland,Premier League,2002-2003,4880000
Carlos Paredes,Defensive Midfield,25,FC Porto,Liga NOS,Reggina,Serie A,2002-2003,4800000
Stephen Appiah,Central Midfield,21,Parma,Serie A,Brescia,Serie A,2002-2003,4550000
Emiliano Bonazzoli,Centre-Forward,23,Parma,Serie A,Reggina,Serie A,2002-2003,4500000
Stephen Wright,Right-Back,22,Liverpool,Premier League,Sunderland,Premier League,2002-2003,4500000
David Sommeil,Centre-Back,27,G. Bordeaux,Ligue 1,Man City,Premier League,2002-2003,4500000
Nick Barmby,Left Midfield,28,Liverpool,Premier League,Leeds,Premier League,2002-2003,4500000
Georgi Ivanov,Centre-Forward,26,Levski Sofia, Bulgaria,Stade Rennais,Ligue 1,2002-2003,4100000
Patrice Evra,Left-Back,21,OGC Nice,Ligue 1,Monaco,Ligue 1,2002-2003,4100000
Bernardo Corradi,Centre-Forward,26,Chievo Verona,Serie A,Inter,Serie A,2002-2003,4000000
Mahamadou Diarra,Defensive Midfield,21,Vitesse,Eredivisie,Olympique Lyon,Ligue 1,2002-2003,3900000
Pascal Cygan,Centre-Back,28,LOSC Lille,Ligue 1,Arsenal,Premier League,2002-2003,3830000
Franck Queudrue,Left-Back,23,Lens,Ligue 1,Middlesbrough,Premier League,2002-2003,3750000
David Prutton,Central Midfield,21,Nottm Forest,First Division,Southampton,Premier League,2002-2003,3750000
Mart Poom,Goalkeeper,30,Derby,First Division,Sunderland,Premier League,2002-2003,3750000
Marek Jankulovski,Left-Back,25,SSC Napoli,Serie B,Udinese Calcio,Serie A,2002-2003,3500000
Dwight Yorke,Centre-Forward,30,Man Utd,Premier League,Blackburn,Premier League,2002-2003,3500000
Dagui Bakari,Centre-Forward,27,LOSC Lille,Ligue 1,Lens,Ligue 1,2002-2003,3500000
Jason Koumas,Attacking Midfield,22,Tranmere Rovers,Second Division (bis 03/04),West Brom,Premier League,2002-2003,3450000
Dmitri Sychev,Centre-Forward,19,Spartak Moscow,Premier Liga,Marseille,Ligue 1,2002-2003,3000000
Cosmin Contra,Right-Back,26,AC Milan,Serie A,Atlético Madrid,LaLiga,2002-2003,3000000
Antti Niemi,Goalkeeper,30,Heart of Midl., Scotland,Southampton,Premier League,2002-2003,3000000
Rodrigo Fabri,Central Midfield,26,Grêmio, Brazil,Atlético Madrid,LaLiga,2002-2003,3000000
Michael Svensson,Centre-Back,26,Troyes,Ligue 1,Southampton,Premier League,2002-2003,3000000
Marcus Allbäck,Centre-Forward,29,Heerenveen,Eredivisie,Aston Villa,Premier League,2002-2003,3000000
Facundo Sava,Centre-Forward,28,Gimnasia, Argentina,Fulham,Premier League,2002-2003,3000000
Richard Dutruel,Goalkeeper,29,FC Barcelona,LaLiga,Alavés,LaLiga,2002-2003,2900000
Lee Carsley,Defensive Midfield,28,Coventry City,First Division,Everton,Premier League,2002-2003,2850000
Samuele Dalla Bona,Central Midfield,21,Chelsea,Premier League,AC Milan,Serie A,2002-2003,2700000
Ulises de la Cruz,Right-Back,28,Hibernian FC, Scotland,Aston Villa,Premier League,2002-2003,2700000
David Villa,Centre-Forward,21,Sporting Gijón,LaLiga2,Real Zaragoza,LaLiga,2002-2003,2700000
Gabriel Loeschbor,Centre-Back,25,Racing Club, Argentina,Stade Rennais,Ligue 1,2002-2003,2610000
Sasa Bjelanovic,Centre-Forward,23,NK Varazdin, Croatia,Como,Serie A,2002-2003,2500000
Vladimir Manchev,Centre-Forward,24,CSKA Sofia, Bulgaria,LOSC Lille,Ligue 1,2002-2003,2500000
Carsten Jancker,Centre-Forward,27,Bayern Munich ,1.Bundesliga,Udinese Calcio,Serie A,2002-2003,2500000
Sean Gregan,Centre-Back,28,Preston NE,First Division,West Brom,Premier League,2002-2003,2500000
Anthony Le Tallec,Centre-Forward,17,Le Havre U19, France,Liverpool,Premier League,2002-2003,2500000
David Thompson,Right Midfield,24,Coventry City,First Division,Blackburn,Premier League,2002-2003,2250000
Danny Higginbotham,Centre-Back,24,Derby,First Division,Southampton,Premier League,2002-2003,2250000
Aliou Cissé,Defensive Midfield,26,Paris SG,Ligue 1,Birmingham,Premier League,2002-2003,2250000
Ricardo,Goalkeeper,30,Real Valladolid,LaLiga,Man Utd,Premier League,2002-2003,2230000
Chris Riggott,Centre-Back,22,Derby,First Division,Middlesbrough,Premier League,2002-2003,2230000
Stefan Postma,Goalkeeper,26,De Graafschap,Eredivisie,Aston Villa,Premier League,2002-2003,2230000
Olivier Thomert,Left Midfield,22,Le Mans,Ligue 2,Lens,Ligue 1,2002-2003,2000000
Ümit Davala,Right Midfield,28,AC Milan,Serie A,Inter,Serie A,2002-2003,2000000
René-Salomon Olembé,Left Midfield,21,FC Nantes,Ligue 1,Marseille,Ligue 1,2002-2003,2000000
Mazhar Abdelrahman,Forward,25,El Masry,Premier League,Monaco,Ligue 1,2002-2003,2000000
Shunsuke Nakamura,Attacking Midfield,24,Yokohama F. M.,J1 - 2nd Stage,Reggina,Serie A,2002-2003,2000000
Robbie Savage,Central Midfield,27,Leicester,First Division,Birmingham,Premier League,2002-2003,1880000
Espen Baardsen,Goalkeeper,25,Watford,First Division,Everton,Premier League,2002-2003,1880000
Jamie Clapham,Left-Back,27,Ipswich,First Division,Birmingham,Premier League,2002-2003,1850000
Sigurd Rushfeldt,Centre-Forward,29,Racing,LaLiga,Austria Vienna,Bundesliga,2002-2003,1800000
Massimo Oddo,Right-Back,26,Hellas Verona,Serie B,Lazio,Serie A,2002-2003,1500000
Alex Frei,Centre-Forward,23,Servette FC,Super League,Stade Rennais,Ligue 1,2002-2003,1500000
Marco Caneira,Centre-Back,23,Benfica,Liga NOS,G. Bordeaux,Ligue 1,2002-2003,1500000
Adrian Ilie,Centre-Forward,28,Valencia CF,LaLiga,Alavés,LaLiga,2002-2003,1500000
Cyril Jeunechamp,Defensive Midfield,27,SC Bastia,Ligue 1,Stade Rennais,Ligue 1,2002-2003,1500000
Andy Todd,Centre-Back,27,Charlton,Premier League,Blackburn,Premier League,2002-2003,1500000
Darren Ambrose,Left Midfield,19,Ipswich,First Division,Newcastle,Premier League,2002-2003,1500000
Cyril Domoraud,Centre-Back,30,Monaco,Ligue 1,Espanyol,LaLiga,2002-2003,1500000
Matthew Upson,Centre-Back,23,Arsenal,Premier League,Birmingham,Premier League,2002-2003,1400000
Stephen Clemence,Right Midfield,24,Spurs,Premier League,Birmingham,Premier League,2002-2003,1350000
Alexander Manninger,Goalkeeper,25,Arsenal,Premier League,Espanyol,LaLiga,2002-2003,1320000
Hermann Hreidarsson,Centre-Back,28,Ipswich,First Division,Charlton,Premier League,2002-2003,1200000
Mark Kinsella,Defensive Midfield,29,Charlton,Premier League,Aston Villa,Premier League,2002-2003,1150000
François Grenet,Right-Back,27,Derby,First Division,Stade Rennais,Ligue 1,2002-2003,1120000
Lee Marshall,Central Midfield,23,Leicester,First Division,West Brom,Premier League,2002-2003,1050000
Kanga Akalé,Left Winger,21,FC Zürich,Super League,AJ Auxerre,Ligue 1,2002-2003,1000000
Philippe Brunel,Left Midfield,29,Marseille,Ligue 1,LOSC Lille,Ligue 1,2002-2003,1000000
Thomas Thorninger,Centre-Forward,29,FC Copenhagen, Denmark,Udinese Calcio,Serie A,2002-2003,1000000
Filipe Teixeira,Right Winger,21,Istres FC,Ligue 2,Paris SG,Ligue 1,2002-2003,1000000
Mikkel Bischoff,Centre-Back,20,Akademisk BK, Denmark,Man City,Premier League,2002-2003,950000
Frédson,Defensive Midfield,21,Paraná, Brazil,Espanyol,LaLiga,2002-2003,950000
Apostolos Liolidis,Right Winger,24,Aris Saloniki,Super League,Atalanta,Serie A,2002-2003,900000
David Beckham,Right Midfield,28,Man Utd,Premier League,Real Madrid,LaLiga,2003-2004,37500000
Ronaldinho,Attacking Midfield,23,Paris SG,Ligue 1,FC Barcelona,LaLiga,2003-2004,32250000
Hernán Crespo,Centre-Forward,28,Inter,Serie A,Chelsea,Premier League,2003-2004,26000000
Damien Duff,Right Midfield,24,Blackburn,Premier League,Chelsea,Premier League,2003-2004,24500000
Adriano,Centre-Forward,21,Parma,Serie A,Inter,Serie A,2003-2004,23400000
Juan Sebastián Verón,Central Midfield,28,Man Utd,Premier League,Chelsea,Premier League,2003-2004,21500000
Sébastien Frey,Goalkeeper,23,Inter,Serie A,Parma,Serie A,2003-2004,21000000
Claude Makélélé,Defensive Midfield,30,Real Madrid,LaLiga,Chelsea,Premier League,2003-2004,20000000
José Antonio Reyes,Right Winger,20,Sevilla FC,LaLiga,Arsenal,Premier League,2003-2004,20000000
Adrian Mutu,Centre-Forward,24,Parma,Serie A,Chelsea,Premier League,2003-2004,19000000
Cristiano Ronaldo,Centre-Forward,18,Sporting CP,Liga NOS,Man Utd,Premier League,2003-2004,19000000
Cristian Chivu,Centre-Back,22,AFC Ajax,Eredivisie,AS Roma,Serie A,2003-2004,18000000
Louis Saha,Centre-Forward,25,Fulham,Premier League,Man Utd,Premier League,2003-2004,17500000
Scott Parker,Central Midfield,23,Charlton,Premier League,Chelsea,Premier League,2003-2004,14000000
Andy van der Meyde,Right Winger,23,AFC Ajax,Eredivisie,Inter,Serie A,2003-2004,12000000
Michael Essien,Defensive Midfield,20,SC Bastia,Ligue 1,Olympique Lyon,Ligue 1,2003-2004,11700000
Pauleta,Centre-Forward,30,G. Bordeaux,Ligue 1,Paris SG,Ligue 1,2003-2004,11000000
Wayne Bridge,Left-Back,22,Southampton,Premier League,Chelsea,Premier League,2003-2004,10500000
Jermain Defoe,Centre-Forward,21,West Ham,First Division,Spurs,Premier League,2003-2004,10500000
Harry Kewell,Left Winger,24,Leeds,Premier League,Liverpool,Premier League,2003-2004,10000000
Juan Riquelme,Attacking Midfield,25,FC Barcelona,LaLiga,Villarreal CF,LaLiga,2003-2004,10000000
Njitap Geremi,Right-Back,24,Real Madrid,LaLiga,Chelsea,Premier League,2003-2004,10000000
Reinaldo,Centre-Forward,24,Flamengo, Brazil,Paris SG,Ligue 1,2003-2004,10000000
Joe Cole,Attacking Midfield,21,West Ham,First Division,Chelsea,Premier League,2003-2004,9900000
Barry Ferguson,Defensive Midfield,25,Rangers,Premiership,Blackburn,Premier League,2003-2004,9750000
